name	unit	short_desc	long_desc
zone/Z11/window_opening/south	%	window opening, zone Z11 (south-facing window, 1st floor)	Window opening for zone Z11 (south-facing window, 1st floor). Sensor: unknown (range 0% (closed) to 100% (fully open)). 33 windows + skylights [han24, Table 3] sensors total. Missing-data: Y1 0.06%, Y2 0%. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7.
zone/Z12/window_opening/south	%	window opening, zone Z12 (south-facing window, 1st floor)	Window opening for zone Z12 (south-facing window, 1st floor). Sensor: unknown (range 0% (closed) to 100% (fully open)). 33 windows + skylights [han24, Table 3] sensors total. Missing-data: Y1 0.06%, Y2 0%. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7.
zone/Z13/window_opening/south	%	window opening, zone Z13 (south-facing window, 1st floor)	Window opening for zone Z13 (south-facing window, 1st floor). Sensor: unknown (range 0% (closed) to 100% (fully open)). 33 windows + skylights [han24, Table 3] sensors total. Missing-data: Y1 0.06%, Y2 0%. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7.
zone/Z13/window_opening/west	%	window opening, zone Z13 (west-facing window, 1st floor)	Window opening for zone Z13 (west-facing window, 1st floor). Sensor: unknown (range 0% (closed) to 100% (fully open)). 33 windows + skylights [han24, Table 3] sensors total. Missing-data: Y1 0.06%, Y2 0%. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7.
zone/Z15/window_opening/west	%	window opening, zone Z15 (west-facing window, 1st floor)	Window opening for zone Z15 (west-facing window, 1st floor). Sensor: unknown (range 0% (closed) to 100% (fully open)). 33 windows + skylights [han24, Table 3] sensors total. Missing-data: Y1 0.06%, Y2 0%. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7.
zone/Z15/window_opening/north	%	window opening, zone Z15 (north-facing window, 1st floor)	Window opening for zone Z15 (north-facing window, 1st floor). Sensor: unknown (range 0% (closed) to 100% (fully open)). 33 windows + skylights [han24, Table 3] sensors total. Missing-data: Y1 0.06%, Y2 0%. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7.
zone/Z16/window_opening/north	%	window opening, zone Z16 (north-facing window, 1st floor)	Window opening for zone Z16 (north-facing window, 1st floor). Sensor: unknown (range 0% (closed) to 100% (fully open)). 33 windows + skylights [han24, Table 3] sensors total. Missing-data: Y1 0.06%, Y2 0%. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7.
zone/Z17/window_opening/north	%	window opening, zone Z17 (north-facing window, 1st floor)	Window opening for zone Z17 (north-facing window, 1st floor). Sensor: unknown (range 0% (closed) to 100% (fully open)). 33 windows + skylights [han24, Table 3] sensors total. Missing-data: Y1 0.06%, Y2 0%. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7.
zone/Z21/window_opening/east	%	window opening, zone Z21 (east-facing window, 2nd floor)	Window opening for zone Z21 (east-facing window, 2nd floor). Sensor: unknown (range 0% (closed) to 100% (fully open)). 33 windows + skylights [han24, Table 3] sensors total. Missing-data: Y1 0.06%, Y2 0%. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7.
zone/Z21/window_opening/south	%	window opening, zone Z21 (south-facing window, 2nd floor)	Window opening for zone Z21 (south-facing window, 2nd floor). Sensor: unknown (range 0% (closed) to 100% (fully open)). 33 windows + skylights [han24, Table 3] sensors total. Missing-data: Y1 0.06%, Y2 0%. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7.
zone/Z22/window_opening/south	%	window opening, zone Z22 (south-facing window, 2nd floor)	Window opening for zone Z22 (south-facing window, 2nd floor). Sensor: unknown (range 0% (closed) to 100% (fully open)). 33 windows + skylights [han24, Table 3] sensors total. Missing-data: Y1 0.06%, Y2 0%. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7.
zone/Z23/window_opening/south	%	window opening, zone Z23 (south-facing window, 2nd floor)	Window opening for zone Z23 (south-facing window, 2nd floor). Sensor: unknown (range 0% (closed) to 100% (fully open)). 33 windows + skylights [han24, Table 3] sensors total. Missing-data: Y1 0.06%, Y2 0%. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7.
zone/Z23/window_opening/west	%	window opening, zone Z23 (west-facing window, 2nd floor)	Window opening for zone Z23 (west-facing window, 2nd floor). Sensor: unknown (range 0% (closed) to 100% (fully open)). 33 windows + skylights [han24, Table 3] sensors total. Missing-data: Y1 0.06%, Y2 0%. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7.
zone/Z24/window_opening/west	%	window opening, zone Z24 (west-facing window, 2nd floor)	Window opening for zone Z24 (west-facing window, 2nd floor). Sensor: unknown (range 0% (closed) to 100% (fully open)). One of 34 window-opening sensors [report, System Sensors table]. Sources: [report] Data Report.pdf (extras/Data Report/); [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7.
zone/Z25/window_opening/west	%	window opening, zone Z25 (west-facing window, 2nd floor)	Window opening for zone Z25 (west-facing window, 2nd floor). Sensor: unknown (range 0% (closed) to 100% (fully open)). 33 windows + skylights [han24, Table 3] sensors total. Missing-data: Y1 0.06%, Y2 0%. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7.
zone/Z25/window_opening/north	%	window opening, zone Z25 (north-facing window, 2nd floor)	Window opening for zone Z25 (north-facing window, 2nd floor). Sensor: unknown (range 0% (closed) to 100% (fully open)). 33 windows + skylights [han24, Table 3] sensors total. Missing-data: Y1 0.06%, Y2 0%. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7.
zone/Z26/window_opening/north	%	window opening, zone Z26 (north-facing window, 2nd floor)	Window opening for zone Z26 (north-facing window, 2nd floor). Sensor: unknown (range 0% (closed) to 100% (fully open)). 33 windows + skylights [han24, Table 3] sensors total. Missing-data: Y1 0.06%, Y2 0%. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7.
zone/Z27/window_opening/north	%	window opening, zone Z27 (north-facing window, 2nd floor)	Window opening for zone Z27 (north-facing window, 2nd floor). Sensor: unknown (range 0% (closed) to 100% (fully open)). 33 windows + skylights [han24, Table 3] sensors total. Missing-data: Y1 0.06%, Y2 0%. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7.
zone/Z31/window_opening/south	%	window opening, zone Z31 (south-facing window, 3rd floor)	Window opening for zone Z31 (south-facing window, 3rd floor). Sensor: unknown (range 0% (closed) to 100% (fully open)). 33 windows + skylights [han24, Table 3] sensors total. Missing-data: Y1 0.06%, Y2 0%. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7.
zone/Z32/window_opening/west	%	window opening, zone Z32 (west-facing window, 3rd floor)	Window opening for zone Z32 (west-facing window, 3rd floor). Sensor: unknown (range 0% (closed) to 100% (fully open)). 33 windows + skylights [han24, Table 3] sensors total. Missing-data: Y1 0.06%, Y2 0%. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7.
zone/Z33/window_opening/north	%	window opening, zone Z33 (north-facing window, 3rd floor)	Window opening for zone Z33 (north-facing window, 3rd floor). Sensor: unknown (range 0% (closed) to 100% (fully open)). 33 windows + skylights [han24, Table 3] sensors total. Missing-data: Y1 0.06%, Y2 0%. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7.
zone/Z21/window_opening/sky	%	window opening, zone Z21 (sky-facing window, 2nd floor)	Window opening for zone Z21 (sky-facing window, 2nd floor). Sensor: unknown (range 0% (closed) to 100% (fully open)). 33 windows + skylights [han24, Table 3] sensors total. Missing-data: Y1 0.06%, Y2 0%. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7.
zone/Z23/window_opening/sky	%	window opening, zone Z23 (sky-facing window, 2nd floor)	Window opening for zone Z23 (sky-facing window, 2nd floor). Sensor: unknown (range 0% (closed) to 100% (fully open)). 33 windows + skylights [han24, Table 3] sensors total. Missing-data: Y1 0.06%, Y2 0%. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7.
zone/Z24/window_opening/sky	%	window opening, zone Z24 (sky-facing window, 2nd floor)	Window opening for zone Z24 (sky-facing window, 2nd floor). Sensor: unknown (range 0% (closed) to 100% (fully open)). 33 windows + skylights [han24, Table 3] sensors total. Missing-data: Y1 0.06%, Y2 0%. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7.
zone/Z25/window_opening/sky	%	window opening, zone Z25 (sky-facing window, 2nd floor)	Window opening for zone Z25 (sky-facing window, 2nd floor). Sensor: unknown (range 0% (closed) to 100% (fully open)). 33 windows + skylights [han24, Table 3] sensors total. Missing-data: Y1 0.06%, Y2 0%. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7.
zone/Z27/window_opening/sky	%	window opening, zone Z27 (sky-facing window, 2nd floor)	Window opening for zone Z27 (sky-facing window, 2nd floor). Sensor: unknown (range 0% (closed) to 100% (fully open)). 33 windows + skylights [han24, Table 3] sensors total. Missing-data: Y1 0.06%, Y2 0%. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7.
zone/Z31/window_opening/sky	%	window opening, zone Z31 (sky-facing window, 3rd floor)	Window opening for zone Z31 (sky-facing window, 3rd floor). Sensor: unknown (range 0% (closed) to 100% (fully open)). 33 windows + skylights [han24, Table 3] sensors total. Missing-data: Y1 0.06%, Y2 0%. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7.
zone/Z33/window_opening/sky	%	window opening, zone Z33 (sky-facing window, 3rd floor)	Window opening for zone Z33 (sky-facing window, 3rd floor). Sensor: unknown (range 0% (closed) to 100% (fully open)). 33 windows + skylights [han24, Table 3] sensors total. Missing-data: Y1 0.06%, Y2 0%. Sources: [han24] Han et al. 2024, "A two-year dataset of energy, environment, and system operations for an ultra-low energy office building", Sci Data 11:938. https://doi.org/10.1038/s41597-024-03770-7.
